id,source,target,weight
#aad2e0#a2ccc0,#aad2e0,#a2ccc0,1
#d4d4d4#f9468c,#d4d4d4,#f9468c,1
#c91e11#f3d027,#c91e11,#f3d027,3
#00beb9#f3d027,#00beb9,#f3d027,3
#f9468c#b7de55,#f9468c,#b7de55,1
#f80f19#b7de55,#f80f19,#b7de55,1
#8ad2f1#dfb0c7,#8ad2f1,#dfb0c7,2
#51692b#f80f19,#51692b,#f80f19,1
#aad2e0#ff8000,#aad2e0,#ff8000,1
#eac793#f3d027,#eac793,#f3d027,4
#dfb0c7#f9468c,#dfb0c7,#f9468c,5
#32bff2#f9468c,#32bff2,#f9468c,3
#51692b#a5b34b,#51692b,#a5b34b,1
#32bff2#8ad2f1,#32bff2,#8ad2f1,1
#f9468c#f1d9ca,#f9468c,#f1d9ca,1
#845145#c91e11,#845145,#c91e11,1
#1b4c79#51692b,#1b4c79,#51692b,1
#32bff2#d4d4d4,#32bff2,#d4d4d4,1
#b7de55#ffab1c,#b7de55,#ffab1c,1
#23bf0c#f3d027,#23bf0c,#f3d027,3
#83b3e3#aad2e0,#83b3e3,#aad2e0,1
#f80f19#ff8000,#f80f19,#ff8000,2
#dfb0c7#eac793,#dfb0c7,#eac793,1
#00beb9#478f8d,#00beb9,#478f8d,1
#f80f19#f3d027,#f80f19,#f3d027,3
#845145#69301d,#845145,#69301d,1
#845145#f80f19,#845145,#f80f19,1
#00beb9#b7de55,#00beb9,#b7de55,1
#aad2e0#f9468c,#aad2e0,#f9468c,1
#a5b34b#23bf0c,#a5b34b,#23bf0c,1
#845145#ff8000,#845145,#ff8000,1
#51692b#a5b34b,#51692b,#a5b34b,4
#863e85#dfb0c7,#863e85,#dfb0c7,2
#845145#f3d027,#845145,#f3d027,1
#1b4c79#8ad2f1,#1b4c79,#8ad2f1,1
#8ad2f1#add9a1,#8ad2f1,#add9a1,1
#c91e11#f80f19,#c91e11,#f80f19,2
#899390#23bf0c,#899390,#23bf0c,1
#aad2e0#ddd8ba,#aad2e0,#ddd8ba,1
#845145#f3d027,#845145,#f3d027,1
#c91e11#ff8000,#c91e11,#ff8000,1
#c91e11#b7de55,#c91e11,#b7de55,1
#aad2e0#eac793,#aad2e0,#eac793,1
#c91e11#f3d027,#c91e11,#f3d027,1
#0572cd#f3d027,#0572cd,#f3d027,1
#8ad2f1#23bf0c,#8ad2f1,#23bf0c,1
#a857aa#b7de55,#a857aa,#b7de55,1
#1b4c79#23bf0c,#1b4c79,#23bf0c,1
#eac793#b7de55,#eac793,#b7de55,2
#00beb9#add9a1,#00beb9,#add9a1,2
#f1d9ca#69301d,#f1d9ca,#69301d,1
#8ad2f1#ff8000,#8ad2f1,#ff8000,1
#ff8000#f3d027,#ff8000,#f3d027,6
#23bf0c#ff8000,#23bf0c,#ff8000,2
#0572cd#f9468c,#0572cd,#f9468c,1
#dfb0c7#d4d4d4,#dfb0c7,#d4d4d4,1
#8ad2f1#ffab1c,#8ad2f1,#ffab1c,1
#51692b#ffab1c,#51692b,#ffab1c,1
#6d6eb9#aad2e0,#6d6eb9,#aad2e0,1
#f80f19#23bf0c,#f80f19,#23bf0c,2
#00beb9#ffab1c,#00beb9,#ffab1c,2
#aad2e0#f3d027,#aad2e0,#f3d027,1
#478f8d#a2ccc0,#478f8d,#a2ccc0,1
#920000#ff8000,#920000,#ff8000,1
#8ad2f1#00beb9,#8ad2f1,#00beb9,1
#8ad2f1#f3d027,#8ad2f1,#f3d027,2
#add9a1#b7de55,#add9a1,#b7de55,1
#863e85#f80f19,#863e85,#f80f19,1
#00beb9#5a922d,#00beb9,#5a922d,1
#add9a1#f3d027,#add9a1,#f3d027,1
#00beb9#b7de55,#00beb9,#b7de55,3
#a2ccc0#b7de55,#a2ccc0,#b7de55,2
#add9a1#a5b34b,#add9a1,#a5b34b,1
#00beb9#23bf0c,#00beb9,#23bf0c,4
#f9468c#f3d027,#f9468c,#f3d027,3
#f1d9ca#f3d027,#f1d9ca,#f3d027,3
#add9a1#5a922d,#add9a1,#5a922d,2
#a857aa#f3d027,#a857aa,#f3d027,1
#f9468c#f80f19,#f9468c,#f80f19,2
#f80f19#ffab1c,#f80f19,#ffab1c,3
#add9a1#23bf0c,#add9a1,#23bf0c,1
#863e85#f9468c,#863e85,#f9468c,2
#32bff2#30355f,#32bff2,#30355f,1
#dfb0c7#add9a1,#dfb0c7,#add9a1,1
#51692b#5a922d,#51692b,#5a922d,4
#5a922d#b7de55,#5a922d,#b7de55,7
#f1d9ca#ddd8ba,#f1d9ca,#ddd8ba,1
#00beb9#ff8000,#00beb9,#ff8000,1
#6d6eb9#9796bb,#6d6eb9,#9796bb,1
#5a922d#23bf0c,#5a922d,#23bf0c,5
#add9a1#51692b,#add9a1,#51692b,1
#0572cd#ffab1c,#0572cd,#ffab1c,1
#32bff2#f1d9ca,#32bff2,#f1d9ca,1
#9796bb#dfb0c7,#9796bb,#dfb0c7,2
#c91e11#ffab1c,#c91e11,#ffab1c,3
#8ad2f1#f80f19,#8ad2f1,#f80f19,1
#32bff2#b7de55,#32bff2,#b7de55,2
#423fa8#ffab1c,#423fa8,#ffab1c,1
#423fa8#0572cd,#423fa8,#0572cd,1
#ffab1c#f3d027,#ffab1c,#f3d027,9
#0073aa#aad2e0,#0073aa,#aad2e0,1
#0572cd#1b4c79,#0572cd,#1b4c79,1
#51692b#b7de55,#51692b,#b7de55,1
#1b4c79#9796bb,#1b4c79,#9796bb,1
#eac793#ffab1c,#eac793,#ffab1c,1
#aad2e0#eac793,#aad2e0,#eac793,2
#9796bb#d4d4d4,#9796bb,#d4d4d4,1
#845145#eac793,#845145,#eac793,1
#dfb0c7#6e746a,#dfb0c7,#6e746a,1
#9796bb#f9468c,#9796bb,#f9468c,2
#32bff2#23bf0c,#32bff2,#23bf0c,3
#9796bb#ddd8ba,#9796bb,#ddd8ba,1
#51692b#5a922d,#51692b,#5a922d,2
#8ad2f1#b7de55,#8ad2f1,#b7de55,3
#863e85#f9468c,#863e85,#f9468c,2
#d4d4d4#f80f19,#d4d4d4,#f80f19,1
#f9468c#f80f19,#f9468c,#f80f19,2
#32bff2#f80f19,#32bff2,#f80f19,1
#423fa8#ffab1c,#423fa8,#ffab1c,1
#c91e11#f80f19,#c91e11,#f80f19,2
#dfb0c7#ddd8ba,#dfb0c7,#ddd8ba,2
#83b3e3#ffab1c,#83b3e3,#ffab1c,1
#dfb0c7#f1d9ca,#dfb0c7,#f1d9ca,2
#5a922d#a5b34b,#5a922d,#a5b34b,4
#32bff2#5a922d,#32bff2,#5a922d,1
#b7de55#ff8000,#b7de55,#ff8000,1
#83b3e3#f3d027,#83b3e3,#f3d027,1
#d4d4d4#ddd8ba,#d4d4d4,#ddd8ba,1
#a857aa#dfb0c7,#a857aa,#dfb0c7,2
#32bff2#83b3e3,#32bff2,#83b3e3,1
#aad2e0#5a922d,#aad2e0,#5a922d,1
#f9468c#ddd8ba,#f9468c,#ddd8ba,1
#32bff2#f3d027,#32bff2,#f3d027,5
#f1d9ca#eac793,#f1d9ca,#eac793,4
#add9a1#b7de55,#add9a1,#b7de55,2
#899390#ff8000,#899390,#ff8000,1
#d4d4d4#23bf0c,#d4d4d4,#23bf0c,1
#899390#f3d027,#899390,#f3d027,1
#0073aa#32bff2,#0073aa,#32bff2,1
#920000#f3d027,#920000,#f3d027,2
#0572cd#863e85,#0572cd,#863e85,1
#23bf0c#ff8000,#23bf0c,#ff8000,3
#0572cd#23bf0c,#0572cd,#23bf0c,1
#f1d9ca#eac793,#f1d9ca,#eac793,1
#23bf0c#f3d027,#23bf0c,#f3d027,4
#32bff2#ffab1c,#32bff2,#ffab1c,3
#0572cd#f3d027,#0572cd,#f3d027,1
#dfb0c7#add9a1,#dfb0c7,#add9a1,1
#ff8000#f3d027,#ff8000,#f3d027,4
#5a922d#b7de55,#5a922d,#b7de55,2
#863e85#f3d027,#863e85,#f3d027,2
#ff8000#ffab1c,#ff8000,#ffab1c,6
#f80f19#b7de55,#f80f19,#b7de55,2
#00beb9#51692b,#00beb9,#51692b,1
#30355f#8ad2f1,#30355f,#8ad2f1,1
#5a922d#23bf0c,#5a922d,#23bf0c,3
#5a922d#f3d027,#5a922d,#f3d027,1
#478f8d#b7de55,#478f8d,#b7de55,1
#b7de55#f3d027,#b7de55,#f3d027,2
#b7de55#23bf0c,#b7de55,#23bf0c,2
#9796bb#aad2e0,#9796bb,#aad2e0,1
#f1d9ca#ddd8ba,#f1d9ca,#ddd8ba,2
#b7de55#f3d027,#b7de55,#f3d027,6
#d4d4d4#eac793,#d4d4d4,#eac793,1
#f9468c#23bf0c,#f9468c,#23bf0c,1
#00beb9#ffab1c,#00beb9,#ffab1c,1
#32bff2#b7de55,#32bff2,#b7de55,4
#f9468c#ffab1c,#f9468c,#ffab1c,4
#8ad2f1#f9468c,#8ad2f1,#f9468c,2
#0572cd#f80f19,#0572cd,#f80f19,1
#a2ccc0#eac793,#a2ccc0,#eac793,1
#f9468c#f3d027,#f9468c,#f3d027,5
#eac793#ff8000,#eac793,#ff8000,3
#c91e11#ff8000,#c91e11,#ff8000,1
#863e85#f1d9ca,#863e85,#f1d9ca,1
#23bf0c#ffab1c,#23bf0c,#ffab1c,3
#add9a1#23bf0c,#add9a1,#23bf0c,2
#add9a1#51692b,#add9a1,#51692b,2
#32bff2#aad2e0,#32bff2,#aad2e0,1
#ffab1c#f3d027,#ffab1c,#f3d027,7
#423fa8#51692b,#423fa8,#51692b,1
#1b4c79#aad2e0,#1b4c79,#aad2e0,1
#dfb0c7#23bf0c,#dfb0c7,#23bf0c,1
#f80f19#ffab1c,#f80f19,#ffab1c,4
#423fa8#f3d027,#423fa8,#f3d027,2
#dfb0c7#f3d027,#dfb0c7,#f3d027,1
#dfb0c7#5a922d,#dfb0c7,#5a922d,1
#5a922d#ff8000,#5a922d,#ff8000,1
#0572cd#920000,#0572cd,#920000,1
#32bff2#a857aa,#32bff2,#a857aa,2
#8ad2f1#9796bb,#8ad2f1,#9796bb,1
#ddd8ba#69301d,#ddd8ba,#69301d,1
#b7de55#23bf0c,#b7de55,#23bf0c,8
#a857aa#8ad2f1,#a857aa,#8ad2f1,1
#5a922d#a5b34b,#5a922d,#a5b34b,1
#6d6eb9#0073aa,#6d6eb9,#0073aa,1
#b7de55#ffab1c,#b7de55,#ffab1c,4
#a857aa#f9468c,#a857aa,#f9468c,2
#f9468c#23bf0c,#f9468c,#23bf0c,3
#00beb9#a2ccc0,#00beb9,#a2ccc0,1
#423fa8#32bff2,#423fa8,#32bff2,1
#920000#c91e11,#920000,#c91e11,1
#a857aa#ffab1c,#a857aa,#ffab1c,2
#6d6eb9#00beb9,#6d6eb9,#00beb9,1
#dfb0c7#b7de55,#dfb0c7,#b7de55,1
#8ad2f1#f3d027,#8ad2f1,#f3d027,5
#dfb0c7#ffab1c,#dfb0c7,#ffab1c,2
#aad2e0#f1d9ca,#aad2e0,#f1d9ca,1
#00beb9#f3d027,#00beb9,#f3d027,1
#32bff2#23bf0c,#32bff2,#23bf0c,5
#eac793#c91e11,#eac793,#c91e11,1
#32bff2#ffab1c,#32bff2,#ffab1c,6
#30355f#23bf0c,#30355f,#23bf0c,1
#a5b34b#23bf0c,#a5b34b,#23bf0c,3
#32bff2#5a922d,#32bff2,#5a922d,1
#1b4c79#00beb9,#1b4c79,#00beb9,1
#a857aa#f9468c,#a857aa,#f9468c,2
#0572cd#51692b,#0572cd,#51692b,2
#a857aa#23bf0c,#a857aa,#23bf0c,2
#aad2e0#dfb0c7,#aad2e0,#dfb0c7,1
